,Datetime,Datetime Date,Datetime Time,Noise Threshold,Noise Level,Weather,Weather Type,Weather Code,Temperature,Humidity,Vehicle Type
0,06:28.7,30/12/2019,14:06:29,1,54,"['Clouds', 803, 296.93, 83]",'Clouds', 803, 296.93, 83,NA
1,06:45.9,30/12/2019,14:06:46,1,72,"['Clouds', 803, 296.93, 83]",'Clouds', 803, 296.93, 83,
2,06:59.4,30/12/2019,14:06:59,1,28,"['Clouds', 803, 296.93, 83]",'Clouds', 803, 296.93, 83,
3,07:43.6,30/12/2019,14:07:44,1,24,"['Clouds', 803, 296.93, 83]",'Clouds', 803, 296.93, 83,
4,07:52.2,30/12/2019,14:07:52,0,90,"['Clouds', 803, 296.94, 83]",'Clouds', 803, 296.94, 83,
5,08:05.3,30/12/2019,14:08:05,0,70,"['Clouds', 803, 296.94, 83]",'Clouds', 803, 296.94, 83,
6,08:27.9,30/12/2019,14:08:28,1,85,"['Clouds', 803, 296.92, 83]",'Clouds', 803, 296.92, 83,
7,08:52.0,30/12/2019,14:08:52,0,80,"['Clouds', 803, 296.93, 83]",'Clouds', 803, 296.93, 83,
8,09:07.6,30/12/2019,14:09:08,0,80,"['Clouds', 803, 296.94, 83]",'Clouds', 803, 296.94, 83,
9,09:17.2,30/12/2019,14:09:17,1,68,"['Clouds', 803, 296.93, 83]",'Clouds', 803, 296.93, 83,
10,09:47.1,30/12/2019,14:09:47,0,61,"['Clouds', 803, 296.93, 83]",'Clouds', 803, 296.93, 83,
11,09:55.3,30/12/2019,14:09:55,0,53,"['Clouds', 803, 296.93, 83]",'Clouds', 803, 296.93, 83,
12,10:05.4,30/12/2019,14:10:05,0,55,"['Clouds', 803, 296.92, 83]",'Clouds', 803, 296.92, 83,
13,10:13.3,30/12/2019,14:10:13,1,96,"['Clouds', 803, 296.92, 83]",'Clouds', 803, 296.92, 83,
14,10:21.1,30/12/2019,14:10:21,1,69,"['Clouds', 803, 296.92, 83]",'Clouds', 803, 296.92, 83,
15,10:37.5,30/12/2019,14:10:37,0,44,"['Clouds', 803, 296.93, 83]",'Clouds', 803, 296.93, 83,
16,10:53.1,30/12/2019,14:10:53,1,11,"['Clouds', 803, 296.94, 83]",'Clouds', 803, 296.94, 83,
17,11:03.6,30/12/2019,14:11:04,0,77,"['Clouds', 803, 296.94, 83]",'Clouds', 803, 296.94, 83,
18,11:18.4,30/12/2019,14:11:18,1,44,"['Clouds', 803, 296.93, 83]",'Clouds', 803, 296.93, 83,
19,11:26.2,30/12/2019,14:11:26,0,16,"['Clouds', 803, 296.92, 83]",'Clouds', 803, 296.92, 83,['detection error']
20,11:34.1,30/12/2019,14:11:34,0,15,"['Clouds', 803, 296.93, 83]",'Clouds', 803, 296.93, 83,['detection error']
21,11:58.2,30/12/2019,14:11:58,1,16,"['Clouds', 803, 296.94, 83]",'Clouds', 803, 296.94, 83,['detection error']
22,12:06.0,30/12/2019,14:12:06,1,9,"['Clouds', 803, 296.92, 83]",'Clouds', 803, 296.92, 83,['detection error']
23,12:15.9,30/12/2019,14:12:16,1,19,"['Clouds', 803, 296.92, 83]",'Clouds', 803, 296.92, 83,
24,12:25.6,30/12/2019,14:12:26,1,84,"['Clouds', 803, 296.93, 83]",'Clouds', 803, 296.93, 83,
25,12:53.2,30/12/2019,14:12:53,1,24,"['Clouds', 803, 296.93, 83]",'Clouds', 803, 296.93, 83,['detection error']
26,13:02.2,30/12/2019,14:13:02,1,73,"['Clouds', 803, 296.93, 83]",'Clouds', 803, 296.93, 83,['detection error']
27,13:28.2,30/12/2019,14:13:28,1,46,"['Clouds', 803, 296.93, 83]",'Clouds', 803, 296.93, 83,['detection error']
28,13:37.5,30/12/2019,14:13:38,1,51,"['Clouds', 803, 296.92, 83]",'Clouds', 803, 296.92, 83,
29,13:44.7,30/12/2019,14:13:45,1,50,"['Clouds', 803, 296.92, 83]",'Clouds', 803, 296.92, 83,
30,13:53.1,30/12/2019,14:13:53,1,8,"['Clouds', 803, 296.92, 83]",'Clouds', 803, 296.92, 83,['detection error']
31,14:05.1,30/12/2019,14:14:05,0,32,"['Clouds', 803, 296.93, 83]",'Clouds', 803, 296.93, 83,['detection error']
32,14:53.3,30/12/2019,14:14:53,0,39,"['Clouds', 803, 296.93, 83]",'Clouds', 803, 296.93, 83,['detection error']
33,15:08.5,30/12/2019,14:15:08,0,40,"['Clouds', 803, 296.92, 83]",'Clouds', 803, 296.92, 83,['detection error']
34,15:16.6,30/12/2019,14:15:17,0,79,"['Clouds', 803, 296.92, 83]",'Clouds', 803, 296.92, 83,
35,15:33.0,30/12/2019,14:15:33,1,86,"['Clouds', 803, 296.97, 83]",'Clouds', 803, 296.97, 83,['detection error']
36,15:41.1,30/12/2019,14:15:41,1,51,"['Clouds', 803, 296.93, 83]",'Clouds', 803, 296.93, 83,['detection error']
37,15:49.0,30/12/2019,14:15:49,1,43,"['Clouds', 803, 296.92, 83]",'Clouds', 803, 296.92, 83,
