,Datetime,Datetime Date,Datetime Time,Noise Threshold,Noise Level,Weather,Weather Type,Weather Code,Temperature,Humidity,Vehicle Type
0,06:28.7,30/12/2019,14:06:29,1,54,"['Clouds', 803, 296.93, 83]",'Clouds', 803, 296.93, 83,NA
19,11:26.2,30/12/2019,14:11:26,0,16,"['Clouds', 803, 296.92, 83]",'Clouds', 803, 296.92, 83,['detection error']
20,11:34.1,30/12/2019,14:11:34,0,15,"['Clouds', 803, 296.93, 83]",'Clouds', 803, 296.93, 83,['detection error']
21,11:58.2,30/12/2019,14:11:58,1,16,"['Clouds', 803, 296.94, 83]",'Clouds', 803, 296.94, 83,['detection error']
22,12:06.0,30/12/2019,14:12:06,1,9,"['Clouds', 803, 296.92, 83]",'Clouds', 803, 296.92, 83,['detection error']
25,12:53.2,30/12/2019,14:12:53,1,24,"['Clouds', 803, 296.93, 83]",'Clouds', 803, 296.93, 83,['detection error']
26,13:02.2,30/12/2019,14:13:02,1,73,"['Clouds', 803, 296.93, 83]",'Clouds', 803, 296.93, 83,['detection error']
27,13:28.2,30/12/2019,14:13:28,1,46,"['Clouds', 803, 296.93, 83]",'Clouds', 803, 296.93, 83,['detection error']
30,13:53.1,30/12/2019,14:13:53,1,8,"['Clouds', 803, 296.92, 83]",'Clouds', 803, 296.92, 83,['detection error']
31,14:05.1,30/12/2019,14:14:05,0,32,"['Clouds', 803, 296.93, 83]",'Clouds', 803, 296.93, 83,['detection error']
32,14:53.3,30/12/2019,14:14:53,0,39,"['Clouds', 803, 296.93, 83]",'Clouds', 803, 296.93, 83,['detection error']
33,15:08.5,30/12/2019,14:15:08,0,40,"['Clouds', 803, 296.92, 83]",'Clouds', 803, 296.92, 83,['detection error']
35,15:33.0,30/12/2019,14:15:33,1,86,"['Clouds', 803, 296.97, 83]",'Clouds', 803, 296.97, 83,['detection error']
36,15:41.1,30/12/2019,14:15:41,1,51,"['Clouds', 803, 296.93, 83]",'Clouds', 803, 296.93, 83,['detection error']
41,30:22.1,30/12/2019,14:30:22,0,68,"['Clouds', 803, 296.45, 88]",'Clouds', 803, 296.45, 88,['detection error']
42,31:10.4,30/12/2019,14:31:10,0,26,"['Clouds', 803, 296.45, 88]",'Clouds', 803, 296.45, 88,['detection error']
43,31:18.4,30/12/2019,14:31:18,0,27,"['Clouds', 803, 296.45, 88]",'Clouds', 803, 296.45, 88,['detection error']
45,31:57.2,30/12/2019,14:31:57,0,62,"['Clouds', 803, 296.45, 88]",'Clouds', 803, 296.45, 88,['detection error']
47,33:10.3,30/12/2019,14:33:10,0,32,"['Clouds', 803, 296.45, 88]",'Clouds', 803, 296.45, 88,['detection error']
48,33:18.3,30/12/2019,14:33:18,1,74,"['Clouds', 803, 296.45, 88]",'Clouds', 803, 296.45, 88,['detection error']
49,34:18.0,30/12/2019,14:34:18,1,50,"['Clouds', 803, 296.45, 88]",'Clouds', 803, 296.45, 88,['detection error']
50,34:41.0,30/12/2019,14:34:41,1,89,"['Clouds', 803, 296.45, 88]",'Clouds', 803, 296.45, 88,['detection error']
51,34:50.2,30/12/2019,14:34:50,1,14,"['Clouds', 803, 296.27, 88]",'Clouds', 803, 296.27, 88,"['pedestrian', 'car', 'pedestrian', 'uncertain']"
55,36:18.0,30/12/2019,14:36:18,1,52,"['Clouds', 803, 296.45, 88]",'Clouds', 803, 296.45, 88,[]
57,36:57.3,30/12/2019,14:36:57,0,91,"['Clouds', 803, 296.45, 88]",'Clouds', 803, 296.45, 88,"['pedestrian', 'car', 'pedestrian', 'pedestrian']"
61,38:19.2,30/12/2019,14:38:19,1,56,"['Clouds', 803, 296.27, 88]",'Clouds', 803, 296.27, 88,['detection error']
67,39:38.2,30/12/2019,14:39:38,0,1,"['Clouds', 803, 296.45, 88]",'Clouds', 803, 296.45, 88,['detection error']
71,40:32.4,30/12/2019,14:40:32,1,26,"['Clouds', 803, 296.45, 88]",'Clouds', 803, 296.45, 88,['detection error']
