Datetime,Datetime Date,Datetime Time,Noise Threshold,Noise Level,Weather
06:28.7,30/12/2019,14:06:29,[1],54,"['Clouds', 803, 296.93, 83]"
06:45.9,30/12/2019,14:06:46,[1],72,"['Clouds', 803, 296.93, 83]"
06:59.4,30/12/2019,14:06:59,[1],28,"['Clouds', 803, 296.93, 83]"
07:43.6,30/12/2019,14:07:44,[1],24,"['Clouds', 803, 296.93, 83]"
07:52.2,30/12/2019,14:07:52,[0],90,"['Clouds', 803, 296.94, 83]"
08:05.3,30/12/2019,14:08:05,[0],70,"['Clouds', 803, 296.94, 83]"
08:27.9,30/12/2019,14:08:28,[1],85,"['Clouds', 803, 296.92, 83]"
08:52.0,30/12/2019,14:08:52,[0],80,"['Clouds', 803, 296.93, 83]"
09:07.6,30/12/2019,14:09:08,[0],80,"['Clouds', 803, 296.94, 83]"
09:17.2,30/12/2019,14:09:17,[1],68,"['Clouds', 803, 296.93, 83]"
09:47.1,30/12/2019,14:09:47,[0],61,"['Clouds', 803, 296.93, 83]"
09:55.3,30/12/2019,14:09:55,[0],53,"['Clouds', 803, 296.93, 83]"
10:05.4,30/12/2019,14:10:05,[0],55,"['Clouds', 803, 296.92, 83]"
10:13.3,30/12/2019,14:10:13,[1],96,"['Clouds', 803, 296.92, 83]"
10:21.1,30/12/2019,14:10:21,[1],69,"['Clouds', 803, 296.92, 83]"
10:37.5,30/12/2019,14:10:37,[0],44,"['Clouds', 803, 296.93, 83]"
10:53.1,30/12/2019,14:10:53,[1],11,"['Clouds', 803, 296.94, 83]"
11:03.6,30/12/2019,14:11:04,[0],77,"['Clouds', 803, 296.94, 83]"
11:18.4,30/12/2019,14:11:18,[1],44,"['Clouds', 803, 296.93, 83]"
11:26.2,30/12/2019,14:11:26,[0],16,"['Clouds', 803, 296.92, 83]"
11:34.1,30/12/2019,14:11:34,[0],15,"['Clouds', 803, 296.93, 83]"
11:58.2,30/12/2019,14:11:58,[1],16,"['Clouds', 803, 296.94, 83]"
12:06.0,30/12/2019,14:12:06,[1],9,"['Clouds', 803, 296.92, 83]"
12:15.9,30/12/2019,14:12:16,[1],19,"['Clouds', 803, 296.92, 83]"
12:25.6,30/12/2019,14:12:26,[1],84,"['Clouds', 803, 296.93, 83]"
12:53.2,30/12/2019,14:12:53,[1],24,"['Clouds', 803, 296.93, 83]"
13:02.2,30/12/2019,14:13:02,[1],73,"['Clouds', 803, 296.93, 83]"
13:28.2,30/12/2019,14:13:28,[1],46,"['Clouds', 803, 296.93, 83]"
13:37.5,30/12/2019,14:13:38,[1],51,"['Clouds', 803, 296.92, 83]"
13:44.7,30/12/2019,14:13:45,[1],50,"['Clouds', 803, 296.92, 83]"
13:53.1,30/12/2019,14:13:53,[1],8,"['Clouds', 803, 296.92, 83]"
14:05.1,30/12/2019,14:14:05,[0],32,"['Clouds', 803, 296.93, 83]"
14:53.3,30/12/2019,14:14:53,[0],39,"['Clouds', 803, 296.93, 83]"
15:08.5,30/12/2019,14:15:08,[0],40,"['Clouds', 803, 296.92, 83]"
15:16.6,30/12/2019,14:15:17,[0],79,"['Clouds', 803, 296.92, 83]"
15:33.0,30/12/2019,14:15:33,[1],86,"['Clouds', 803, 296.97, 83]"
15:41.1,30/12/2019,14:15:41,[1],51,"['Clouds', 803, 296.93, 83]"
15:49.0,30/12/2019,14:15:49,[1],43,"['Clouds', 803, 296.92, 83]"
15:57.5,30/12/2019,14:15:58,[1],57,"['Clouds', 803, 296.92, 83]"
27:56.0,30/12/2019,14:27:56,[0],6,"['Clouds', 803, 296.45, 88]"
29:03.7,30/12/2019,14:29:04,[0],73,"['Clouds', 803, 296.45, 88]"
30:22.1,30/12/2019,14:30:22,[0],68,"['Clouds', 803, 296.45, 88]"
31:10.4,30/12/2019,14:31:10,[0],26,"['Clouds', 803, 296.45, 88]"
31:18.4,30/12/2019,14:31:18,[0],27,"['Clouds', 803, 296.45, 88]"
31:27.6,30/12/2019,14:31:28,[0],89,"['Clouds', 803, 296.45, 88]"
31:57.2,30/12/2019,14:31:57,[0],62,"['Clouds', 803, 296.45, 88]"
32:18.0,30/12/2019,14:32:18,[1],8,"['Clouds', 803, 296.45, 88]"
33:10.3,30/12/2019,14:33:10,[0],32,"['Clouds', 803, 296.45, 88]"
33:18.3,30/12/2019,14:33:18,[1],74,"['Clouds', 803, 296.45, 88]"
34:18.0,30/12/2019,14:34:18,[1],50,"['Clouds', 803, 296.45, 88]"
