Datetime,Datetime Date,Datetime Time,Noise Threshold,Noise Level,Weather
43826.88399,27/12/2019,21:12:57,[1],48,"['Rain', 520, 296.25, 88]"
43827.7304,28/12/2019,17:31:47,[0],88,"['Rain', 520, 296.25, 88]"
43827.73051,28/12/2019,17:31:56,[0],61,"['Rain', 520, 296.25, 88]"
43827.7306,28/12/2019,17:32:04,[1],98,"['Rain', 520, 296.25, 88]"
43827.73074,28/12/2019,17:32:16,[1],82,"['Rain', 520, 296.27, 88]"
43827.73183,28/12/2019,17:33:50,[1],33,"['Rain', 520, 296.25, 88]"
43827.73195,28/12/2019,17:34:00,[0],52,"['Rain', 520, 296.27, 88]"
43827.73204,28/12/2019,17:34:08,[0],53,"['Rain', 520, 296.27, 88]"
43827.73214,28/12/2019,17:34:17,[0],64,"['Rain', 520, 296.25, 88]"
43827.73252,28/12/2019,17:34:50,[0],42,"['Rain', 520, 296.25, 88]"
43827.73269,28/12/2019,17:35:04,[0],85,"['Rain', 520, 296.25, 88]"
43827.73322,28/12/2019,17:35:50,[1],8,"['Rain', 520, 296.25, 88]"
43827.73336,28/12/2019,17:36:02,[0],8,"['Rain', 520, 296.25, 88]"
43827.73391,28/12/2019,17:36:50,[0],18,"['Rain', 520, 296.27, 88]"
43827.73461,28/12/2019,17:37:50,[0],13,"['Rain', 520, 296.25, 88]"
43827.73475,28/12/2019,17:38:02,[1],14,"['Rain', 520, 296.25, 88]"
43827.7353,28/12/2019,17:38:50,[1],72,"['Rain', 520, 296.25, 88]"
43827.736,28/12/2019,17:39:50,[1],45,"['Rain', 520, 296.27, 88]"
43827.73614,28/12/2019,17:40:02,[1],77,"['Rain', 520, 296.25, 88]"
43827.73669,28/12/2019,17:40:50,[0],68,"['Rain', 520, 296.25, 88]"
43827.73738,28/12/2019,17:41:50,[1],13,"['Rain', 520, 296.74, 88]"
43827.73752,28/12/2019,17:42:02,[0],81,"['Rain', 520, 296.74, 88]"
43827.73808,28/12/2019,17:42:50,[0],7,"['Rain', 520, 296.74, 88]"
