Temperature,Total,Pedestrian,Car,Uncertain
293.79,0.015944293,0.012125535,0.018461538,0.001655355
294.8616667,0.050110634,0.094864479,0.036923077,0.014898196
295.9333333,0.113952883,0.209700428,0.132307692,0.130938586
297.005,0.269230769,0.310984308,0.473846154,0.347127959
298.0766667,0.152284264,0.131954351,0.276923077,0.095513988
299.1483333,0.085969023,0.082025678,0.030769231,0.127958947
300.22,0.077834179,0.047075606,0.003076923,0.149644099
301.2916667,0.077769101,0.047788873,0.015384615,0.070683662
302.3633333,0.073278667,0.042082739,0.003076923,0.042708161
303.435,0.03266953,0.004279601,0.006153846,0.012249628
304.5066667,0.031563191,0.017118402,0.003076923,0.00662142
305.5783333,0.019393466,0,0,0
